transaction_id,appointment_id,subtotal,discount,tax,tip,total,payment_method,estimated_service_cost
108,115,65.0,10,4.55,10.24,69.79,Cash,12.5
109,116,48.0,0,3.97,8.11,60.08,Debit Card,10.0
110,117,82.0,0,6.78,16.0,104.78,Credit Card,16.5
111,118,28.0,0,2.31,2.13,32.44,Debit Card,5.5
112,119,58.0,0,4.79,12.46,75.25,Cash,12.0
113,120,112.0,0,9.26,26.51,147.77,Credit Card,22.5
114,121,58.0,0,4.79,14.43,77.22,Credit Card,12.0
115,122,48.0,0,3.97,11.42,63.39,Cash,10.0
116,124,45.0,0,3.72,14.46,63.18,Credit Card,8.5
117,125,38.0,0,3.14,4.82,45.96,Debit Card,7.5
118,126,45.0,0,3.72,0.55,49.27,Gift Card,8.5
119,127,72.0,10,5.12,9.07,76.19,Cash,15.0
120,128,45.0,0,3.72,8.04,56.76,Credit Card,8.5
121,129,58.0,0,4.79,5.48,68.27,Debit Card,12.0
122,130,72.0,5,5.54,3.56,76.1,Credit Card,15.0
123,131,22.0,0,1.82,3.77,27.59,Credit Card,4.0
124,132,65.0,0,5.37,15.01,85.38,Credit Card,14.0
125,133,68.0,0,5.62,12.67,86.29,Cash,13.5
126,134,48.0,10,3.14,7.18,48.32,Credit Card,9.0
127,136,45.0,0,3.72,7.7,56.42,Cash,8.5
128,138,45.0,5,3.31,5.54,48.85,Cash,8.5
129,139,45.0,0,3.72,9.41,58.13,Credit Card,8.5
130,140,38.0,0,3.14,10.86,52.0,Cash,7.5
131,142,40.0,0,3.31,5.91,49.22,Debit Card,7.5
132,143,48.0,0,3.97,9.85,61.82,Debit Card,9.0
133,144,67.0,10,4.71,11.4,73.11,Credit Card,13.0
134,145,65.0,5,4.96,5.97,70.93,Debit Card,14.0
135,147,98.0,0,8.1,19.42,125.52,Credit Card,19.0
136,148,58.0,5,4.38,10.59,67.97,Credit Card,12.0
137,149,83.0,0,6.86,19.9,109.76,Credit Card,16.5
138,150,40.0,0,3.31,13.32,56.63,Credit Card,7.5
139,151,55.0,0,4.55,8.76,68.31,Debit Card,11.0
140,153,63.0,0,5.21,6.32,74.53,Cash,13.0
141,154,80.0,10,5.79,16.38,92.17,Cash,17.0
142,155,84.0,10,6.12,9.56,89.68,Debit Card,17.0
143,156,28.0,0,2.31,7.78,38.09,Debit Card,5.5
144,157,48.0,0,3.97,11.42,63.39,Debit Card,10.0
145,158,58.0,0,4.79,9.38,72.17,Credit Card,12.0
146,159,72.0,5,5.54,14.03,86.57,Debit Card,15.0
147,160,58.0,10,3.97,7.75,59.72,Debit Card,12.0
148,161,38.0,0,3.14,7.09,48.23,Cash,7.5
149,162,65.0,0,5.37,13.26,83.63,Credit Card,14.0
150,163,58.0,0,4.79,18.2,80.99,Cash,12.0
151,164,139.0,0,11.49,21.69,172.18,Credit Card,28.0
152,165,45.0,0,3.72,5.82,54.54,Cash,8.5
153,166,28.0,0,2.31,6.14,36.45,Credit Card,5.5
154,167,45.0,0,3.72,11.5,60.22,Debit Card,8.5
155,168,72.0,0,5.95,16.11,94.06,Cash,15.0
156,169,103.0,0,8.51,18.21,129.72,Credit Card,21.0
157,170,34.0,0,2.81,7.75,44.56,Debit Card,6.0
158,171,28.0,0,2.31,0,30.31,Credit Card,5.5
159,172,34.0,0,2.81,0.38,37.19,Credit Card,6.0
160,173,55.0,0,4.55,9.54,69.09,Credit Card,10.0
161,175,65.0,0,5.37,11.94,82.31,Debit Card,14.0
162,176,72.0,0,5.95,16.17,94.12,Cash,15.0
163,178,72.0,0,5.95,6.93,84.88,Cash,15.0
164,179,77.0,10,5.54,13.9,86.44,Debit Card,14.0
165,180,53.0,0,4.38,5.24,62.62,Debit Card,10.5
166,181,55.0,0,4.55,6.65,66.2,Debit Card,11.0
167,182,110.0,10,8.27,17.3,125.57,Debit Card,22.5
168,183,53.0,0,4.38,10.8,68.18,Cash,10.5
169,184,68.0,5,5.21,8.82,77.03,Credit Card,13.5
170,185,55.0,0,4.55,5.47,65.02,Cash,11.0
171,186,57.0,0,4.71,10.37,72.08,Credit Card,10.5
172,187,55.0,0,4.55,8.46,68.01,Credit Card,11.0
173,188,66.0,5,5.04,12.27,78.31,Debit Card,13.0
174,189,58.0,10,3.97,13.97,65.94,Debit Card,11.5
175,190,100.0,0,8.27,21.51,129.78,Credit Card,19.5
176,191,45.0,0,3.72,12.77,61.49,Debit Card,8.5
177,192,38.0,0,3.14,10.32,51.46,Credit Card,7.5
178,193,83.0,0,6.86,19.75,109.61,Cash,16.5
179,194,48.0,0,3.97,11.17,63.14,Credit Card,10.0
180,195,45.0,0,3.72,8.02,56.74,Credit Card,8.5
181,196,70.0,0,5.79,12.69,88.48,Credit Card,14.0
182,198,72.0,0,5.95,13.66,91.61,Debit Card,15.0
183,199,83.0,0,6.86,17.71,107.57,Credit Card,15.5
184,200,55.0,0,4.55,3.61,63.16,Credit Card,11.0
185,201,55.0,10,3.72,9.29,58.01,Cash,11.0
186,202,45.0,0,3.72,7.93,56.65,Credit Card,8.5
187,203,65.0,0,5.37,15.33,85.7,Credit Card,14.0
188,204,48.0,0,3.97,9.94,61.91,Debit Card,9.0
189,205,78.0,0,6.45,18.59,103.04,Credit Card,15.0
190,206,48.0,0,3.97,7.43,59.4,Debit Card,10.0
191,207,28.0,0,2.31,5.36,35.67,Debit Card,5.5
192,208,45.0,0,3.72,10.87,59.59,Cash,8.5
193,210,70.0,0,5.79,14.77,90.56,Credit Card,14.0
194,211,45.0,0,3.72,7.14,55.86,Cash,8.5
195,212,53.0,5,3.97,7.82,59.79,Credit Card,10.5
196,213,87.0,0,7.19,8.56,102.75,Credit Card,18.0
197,214,58.0,0,4.79,7.09,69.88,Cash,11.5
198,215,45.0,0,3.72,9.79,58.51,Debit Card,8.5
199,216,60.0,10,4.13,11.2,65.33,Credit Card,11.5
200,217,55.0,10,3.72,10.1,58.82,Credit Card,11.0
201,218,48.0,0,3.97,7.05,59.02,Cash,10.0
202,219,45.0,0,3.72,2.86,51.58,Cash,8.5
203,220,58.0,5,4.38,20.03,77.41,Debit Card,11.5
204,221,28.0,0,2.31,2.76,33.07,Debit Card,5.5
205,222,80.0,10,5.79,6.08,81.87,Gift Card,17.0
206,223,57.0,5,4.3,5.22,61.52,Credit Card,10.5
207,224,73.0,0,6.03,10.33,89.36,Credit Card,15.0
208,225,55.0,0,4.55,10.65,70.2,Credit Card,11.0
209,226,93.0,0,7.69,21.08,121.77,Debit Card,18.5
210,227,40.0,0,3.31,13.03,56.34,Debit Card,7.5
211,228,45.0,5,3.31,0,43.31,Credit Card,8.5
212,229,55.0,0,4.55,13.98,73.53,Cash,11.0
213,230,48.0,0,3.97,4.95,56.92,Gift Card,10.0
214,231,45.0,0,3.72,4.71,53.43,Debit Card,8.5
215,232,58.0,5,4.38,10.84,68.22,Cash,12.0
216,233,65.0,0,5.37,12.86,83.23,Debit Card,14.0
217,234,60.0,10,4.13,5.03,59.16,Debit Card,11.5
218,236,28.0,0,2.31,6.36,36.67,Credit Card,5.5
219,237,58.0,0,4.79,8.97,71.76,Credit Card,12.0
220,238,72.0,0,5.95,7.06,85.01,Credit Card,15.0
221,239,55.0,0,4.55,6.48,66.03,Credit Card,11.0
222,240,48.0,10,3.14,11.52,52.66,Credit Card,10.0
223,241,38.0,0,3.14,9.36,50.5,Credit Card,7.5
224,242,38.0,0,3.14,9.28,50.42,Credit Card,7.5
225,243,55.0,0,4.55,12.25,71.8,Debit Card,11.0
226,244,60.0,5,4.55,16.71,76.26,Gift Card,11.5
227,245,81.0,0,6.69,14.04,101.73,Cash,16.0
228,246,48.0,0,3.97,5.48,57.45,Cash,10.0
229,247,72.0,0,5.95,16.08,94.03,Credit Card,15.0
230,248,83.0,10,6.03,21.18,100.21,Debit Card,16.0
231,249,38.0,0,3.14,3.91,45.05,Debit Card,7.5
232,250,65.0,0,5.37,12.34,82.71,Credit Card,14.0
233,251,58.0,0,4.79,4.17,66.96,Credit Card,11.5
234,252,58.0,0,4.79,11.18,73.97,Gift Card,11.5
235,253,55.0,0,4.55,13.63,73.18,Credit Card,11.0
236,254,38.0,0,3.14,8.34,49.48,Credit Card,7.5
237,255,28.0,0,2.31,4.3,34.61,Credit Card,5.5
238,256,43.0,0,3.55,11.88,58.43,Credit Card,8.5
239,257,55.0,0,4.55,6.69,66.24,Credit Card,11.0
240,258,48.0,0,3.97,12.31,64.28,Credit Card,10.0
241,259,63.0,0,5.21,14.57,82.78,Credit Card,13.0
242,260,28.0,0,2.31,10.98,41.29,Credit Card,5.5
243,261,48.0,0,3.97,7.06,59.03,Credit Card,10.0
244,262,67.0,10,4.71,7.64,69.35,Gift Card,13.0
245,263,45.0,0,3.72,12.42,61.14,Cash,8.5
246,265,38.0,0,3.14,2.64,43.78,Credit Card,7.5
247,266,68.0,0,5.62,8.03,81.65,Credit Card,13.5
248,267,83.0,10,6.03,8.99,88.02,Cash,16.0
249,269,68.0,0,5.62,12.91,86.53,Credit Card,13.5
250,270,72.0,0,5.95,12.96,90.91,Credit Card,15.0
251,271,72.0,0,5.95,17.11,95.06,Debit Card,15.0
252,272,113.0,0,9.34,20.54,142.88,Credit Card,22.5
253,273,45.0,5,3.31,1.68,44.99,Credit Card,8.5
254,274,45.0,0,3.72,11.93,60.65,Debit Card,8.5
255,275,48.0,0,3.97,12.3,64.27,Cash,9.0
256,276,112.0,0,9.26,22.08,143.34,Credit Card,21.5
257,277,72.0,10,5.12,11.86,78.98,Credit Card,15.0
258,278,38.0,0,3.14,4.87,46.01,Debit Card,7.5
259,279,120.0,0,9.92,18.14,148.06,Cash,25.0
260,280,65.0,0,5.37,15.69,86.06,Debit Card,14.0
261,281,45.0,0,3.72,5.29,54.01,Credit Card,8.5
262,282,58.0,0,4.79,6.55,69.34,Credit Card,12.0
263,283,75.0,0,6.2,15.5,96.7,Cash,15.5
264,284,28.0,0,2.31,3.58,33.89,Cash,5.5
265,285,50.0,0,4.13,10.01,64.14,Credit Card,9.5
266,286,45.0,0,3.72,14.61,63.33,Cash,8.5
267,287,72.0,5,5.54,16.41,88.95,Credit Card,15.0
268,288,55.0,0,4.55,4.17,63.72,Credit Card,10.0
269,289,32.0,0,2.64,0.3,34.94,Credit Card,5.5
270,291,45.0,10,2.89,7.52,45.41,Debit Card,8.5
271,292,48.0,5,3.55,6.99,53.54,Credit Card,10.0
272,293,91.0,0,7.52,17.46,115.98,Debit Card,18.5
273,294,55.0,0,4.55,2.67,62.22,Credit Card,11.0
274,295,93.0,10,6.86,15.06,104.92,Debit Card,18.0
275,296,60.0,5,4.55,2.64,62.19,Debit Card,11.5
276,297,28.0,0,2.31,3.01,33.32,Cash,5.5
277,298,38.0,0,3.14,5.31,46.45,Credit Card,7.5
278,299,72.0,5,5.54,7.58,80.12,Credit Card,15.0
279,300,60.0,0,4.96,10.11,75.07,Cash,12.0
280,301,60.0,0,4.96,14.68,79.64,Debit Card,12.0
281,303,48.0,10,3.14,13.27,54.41,Cash,10.0
282,304,48.0,5,3.55,7.1,53.65,Credit Card,10.0
283,305,55.0,5,4.13,19.14,73.27,Credit Card,10.0
284,306,80.0,0,6.61,10.23,96.84,Cash,17.0
285,307,72.0,0,5.95,14.61,92.56,Credit Card,15.0
286,308,72.0,10,5.12,17.06,84.18,Cash,15.0
287,310,55.0,5,4.13,10.46,64.59,Credit Card,10.0
288,311,65.0,0,5.37,16.68,87.05,Cash,14.0
289,312,103.0,0,8.51,11.59,123.1,Debit Card,20.5
290,313,55.0,0,4.55,9.43,68.98,Debit Card,11.0
291,314,28.0,0,2.31,2.09,32.4,Cash,5.5
292,315,22.0,0,1.82,5.11,28.93,Cash,4.0
293,318,45.0,0,3.72,3.07,51.79,Cash,8.5
294,319,55.0,0,4.55,7.3,66.85,Cash,11.0
295,320,48.0,0,3.97,4.77,56.74,Credit Card,10.0
296,321,48.0,0,3.97,15.02,66.99,Credit Card,10.0
297,322,38.0,0,3.14,5.77,46.91,Debit Card,7.5
298,323,72.0,0,5.95,12.09,90.04,Cash,15.0
299,324,84.0,0,6.94,18.96,109.9,Credit Card,17.0
300,326,45.0,0,3.72,0.68,49.4,Credit Card,8.5
301,327,55.0,0,4.55,10.44,69.99,Credit Card,10.0
302,328,80.0,0,6.61,16.4,103.01,Credit Card,17.0
303,329,45.0,0,3.72,11.11,59.83,Cash,8.5
304,330,87.0,0,7.19,13.1,107.29,Debit Card,18.0
305,331,53.0,5,3.97,8.89,60.86,Credit Card,10.5
306,332,72.0,10,5.12,8.23,75.35,Debit Card,15.0
307,333,45.0,0,3.72,10.46,59.18,Debit Card,8.5
308,334,38.0,0,3.14,0,41.14,Cash,7.5
309,335,63.0,10,4.38,9.14,66.52,Credit Card,13.0
310,336,45.0,5,3.31,5.59,48.9,Debit Card,8.5
311,338,72.0,0,5.95,15.74,93.69,Credit Card,15.0
312,339,38.0,0,3.14,0,41.14,Credit Card,7.5
313,340,55.0,10,3.72,13.79,62.51,Credit Card,11.0
314,341,48.0,0,3.97,3.07,55.04,Credit Card,9.0
315,342,45.0,0,3.72,7.65,56.37,Cash,8.5
316,343,55.0,10,3.72,10.31,59.03,Gift Card,11.0
317,344,55.0,0,4.55,11.69,71.24,Credit Card,11.0
318,345,55.0,0,4.55,9.86,69.41,Credit Card,11.0
319,346,45.0,0,3.72,11.56,60.28,Credit Card,8.5
320,348,34.0,0,2.81,2.7,39.51,Credit Card,6.0
321,349,58.0,5,4.38,6.07,63.45,Cash,12.0
322,350,65.0,0,5.37,20.13,90.5,Debit Card,14.0
323,351,60.0,0,4.96,7.23,72.19,Credit Card,11.5
324,352,45.0,0,3.72,10.56,59.28,Credit Card,8.5
325,353,45.0,0,3.72,6.54,55.26,Credit Card,8.5
326,354,48.0,10,3.14,5.81,46.95,Cash,9.0
327,355,60.0,0,4.96,15.53,80.49,Credit Card,11.5
328,356,65.0,5,4.96,16.3,81.26,Credit Card,14.0
329,358,45.0,0,3.72,11.87,60.59,Credit Card,8.5
330,359,67.0,0,5.54,12.66,85.2,Credit Card,13.0
331,360,45.0,0,3.72,14.04,62.76,Credit Card,8.5
332,362,82.0,0,6.78,21.34,110.12,Credit Card,16.5
333,364,22.0,0,1.82,7.73,31.55,Credit Card,4.0
334,365,103.0,0,8.51,18.11,129.62,Debit Card,21.0
335,366,45.0,0,3.72,10.73,59.45,Debit Card,8.5
336,367,22.0,0,1.82,4.75,28.57,Credit Card,4.0
337,368,65.0,0,5.37,15.49,85.86,Credit Card,14.0
338,369,67.0,0,5.54,8.72,81.26,Credit Card,13.0
339,370,22.0,0,1.82,8.62,32.44,Debit Card,4.0
340,371,73.0,5,5.62,10.84,84.46,Credit Card,14.0
341,372,65.0,0,5.37,8.77,79.14,Credit Card,14.0
342,373,38.0,0,3.14,11.82,52.96,Debit Card,7.5
343,374,28.0,0,2.31,13.43,43.74,Credit Card,5.5
344,375,65.0,5,4.96,7.15,72.11,Credit Card,14.0
345,376,45.0,0,3.72,5.78,54.5,Credit Card,8.5
346,377,48.0,5,3.55,8.36,54.91,Cash,10.0
347,378,45.0,0,3.72,6.26,54.98,Credit Card,8.5
348,379,55.0,0,4.55,3.37,62.92,Credit Card,11.0
349,380,65.0,0,5.37,16.65,87.02,Credit Card,14.0
350,381,55.0,0,4.55,6.95,66.5,Credit Card,10.0
351,382,38.0,0,3.14,6.14,47.28,Credit Card,7.5
352,383,48.0,0,3.97,8.54,60.51,Cash,10.0
353,384,57.0,0,4.71,8.28,69.99,Cash,10.5
354,385,93.0,0,7.69,20.09,120.78,Credit Card,18.5
355,386,40.0,0,3.31,10.41,53.72,Credit Card,7.5
356,387,75.0,10,5.37,14.57,84.94,Cash,15.5
357,388,28.0,0,2.31,8.72,39.03,Cash,5.5
358,390,28.0,0,2.31,6.45,36.76,Gift Card,5.5
359,391,55.0,0,4.55,4.89,64.44,Credit Card,11.0
360,392,28.0,0,2.31,4.46,34.77,Gift Card,5.5
361,393,55.0,0,4.55,15.28,74.83,Debit Card,11.0
362,394,82.0,5,6.36,11.93,95.29,Credit Card,16.5
363,395,45.0,0,3.72,2.44,51.16,Cash,8.5
364,396,65.0,0,5.37,13.05,83.42,Credit Card,12.5
365,397,22.0,0,1.82,7.71,31.53,Debit Card,4.0
366,398,55.0,10,3.72,13.93,62.65,Cash,11.0
367,399,67.0,0,5.54,11.8,84.34,Cash,13.0
368,400,22.0,0,1.82,2.36,26.18,Debit Card,4.0
369,401,38.0,0,3.14,5.36,46.5,Credit Card,7.5
370,402,65.0,10,4.55,13.01,72.56,Credit Card,14.0
371,403,57.0,0,4.71,8.59,70.3,Cash,10.5
372,404,38.0,0,3.14,2.37,43.51,Credit Card,7.0
373,405,22.0,0,1.82,3.4,27.22,Cash,4.0
374,406,48.0,0,3.97,14.81,66.78,Cash,10.0
375,407,58.0,0,4.79,15.14,77.93,Credit Card,12.0
376,408,67.0,5,5.12,10.99,78.11,Credit Card,13.0
377,409,55.0,10,3.72,4.99,53.71,Debit Card,11.0
378,410,72.0,0,5.95,14.19,92.14,Credit Card,15.0
379,411,22.0,0,1.82,0,23.82,Credit Card,4.0
380,412,28.0,0,2.31,5.01,35.32,Credit Card,5.5
381,413,48.0,10,3.14,10.8,51.94,Debit Card,10.0
382,414,58.0,5,4.38,3.77,61.15,Cash,11.5
383,415,45.0,0,3.72,6.47,55.19,Credit Card,8.5
384,416,115.0,0,9.5,16.6,141.1,Debit Card,22.5
385,417,60.0,0,4.96,8.11,73.07,Debit Card,11.5
386,418,38.0,0,3.14,7.27,48.41,Credit Card,7.5
387,419,68.0,0,5.62,0,73.62,Debit Card,13.5
388,420,22.0,0,1.82,7.86,31.68,Credit Card,4.0
389,421,57.0,5,4.3,11.06,67.36,Credit Card,10.5
390,422,80.0,0,6.61,12.19,98.8,Credit Card,17.0
391,424,75.0,0,6.2,17.79,98.99,Credit Card,15.5
392,426,65.0,5,4.96,10.31,75.27,Debit Card,14.0
393,427,55.0,0,4.55,10.68,70.23,Cash,11.0
394,428,65.0,0,5.37,7.8,78.17,Credit Card,14.0
395,429,38.0,0,3.14,3.54,44.68,Debit Card,7.5
396,430,72.0,0,5.95,14.31,92.26,Cash,15.0
397,431,45.0,5,3.31,7.19,50.5,Credit Card,8.5
398,432,22.0,0,1.82,3.09,26.91,Gift Card,4.0
399,433,43.0,0,3.55,0.72,47.27,Cash,8.5
400,434,60.0,10,4.13,7.58,61.71,Credit Card,12.0
401,435,45.0,0,3.72,10.32,59.04,Credit Card,8.5
402,436,45.0,10,2.89,7.85,45.74,Cash,8.5
403,437,70.0,10,4.96,9.09,74.05,Credit Card,14.0
404,438,72.0,0,5.95,20.9,98.85,Cash,15.0
405,439,70.0,5,5.37,12.98,83.35,Debit Card,14.0
406,440,22.0,0,1.82,7.96,31.78,Credit Card,4.0
407,441,72.0,0,5.95,15.53,93.48,Credit Card,15.0
408,442,84.0,0,6.94,22.56,113.5,Credit Card,17.0
409,443,55.0,0,4.55,12.08,71.63,Debit Card,11.0
410,444,45.0,0,3.72,10.75,59.47,Credit Card,8.5
411,445,87.0,0,7.19,16.17,110.36,Debit Card,18.0
412,446,45.0,0,3.72,4.06,52.78,Cash,8.5
413,447,68.0,5,5.21,10.46,78.67,Debit Card,13.5
414,448,38.0,0,3.14,5.27,46.41,Credit Card,7.5
415,449,38.0,0,3.14,11.87,53.01,Credit Card,7.5
416,450,38.0,0,3.14,2.33,43.47,Credit Card,7.5
417,451,48.0,5,3.55,0,46.55,Credit Card,10.0
418,452,45.0,5,3.31,14.21,57.52,Credit Card,8.5
419,453,38.0,0,3.14,7.47,48.61,Credit Card,7.5
420,454,58.0,0,4.79,2.82,65.61,Gift Card,12.0
421,455,38.0,0,3.14,12.56,53.7,Debit Card,7.5
422,456,45.0,10,2.89,11.81,49.7,Debit Card,8.5
423,457,22.0,0,1.82,11.76,35.58,Credit Card,4.0
424,458,50.0,0,4.13,11.99,66.12,Cash,9.5
425,459,84.0,0,6.94,9.01,99.95,Credit Card,17.0
426,460,65.0,5,4.96,15.3,80.26,Credit Card,14.0
427,461,55.0,0,4.55,13.28,72.83,Credit Card,11.0
428,462,55.0,0,4.55,15.41,74.96,Cash,11.0
429,463,48.0,0,3.97,12.07,64.04,Cash,10.0
430,464,37.0,0,3.06,1.37,41.43,Credit Card,7.0
431,465,65.0,0,5.37,13.54,83.91,Cash,14.0
432,466,58.0,10,3.97,9.14,61.11,Credit Card,12.0
433,468,50.0,0,4.13,7.98,62.11,Credit Card,9.5
434,469,65.0,0,5.37,3.98,74.35,Credit Card,14.0
435,470,83.0,5,6.45,7.01,91.46,Cash,16.0
436,471,60.0,10,4.13,7.28,61.41,Debit Card,12.0
437,473,65.0,0,5.37,9.58,79.95,Debit Card,14.0
438,474,45.0,0,3.72,0.06,48.78,Credit Card,8.5
439,475,48.0,0,3.97,1.69,53.66,Cash,10.0
440,476,38.0,0,3.14,1.92,43.06,Credit Card,7.5
441,477,22.0,0,1.82,2.32,26.14,Credit Card,4.0
